PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,STATUS,LATITUDE,LONGITUDE
Single Family Residential,Columbia Plan,Frederick,MD,21702,629990,4,2.5,Frederick,3133,,,248,201,Active,39.4398234,-77.4570289
Single Family Residential,Hampshire Plan,Frederick,MD,21701,824990,5,4,Frederick,3230,,,324,255,Active,39.419306,-77.389269
Single Family Residential,ALEC Plan,Frederick,MD,21701,717490,4,4,Frederick,2518,,,324,285,Active,39.419306,-77.389269
Single Family Residential,Summit Plan,Frederick,MD,21701,799990,6,5,Frederick,3112,,,324,257,Active,39.419306,-77.389269
Single Family Residential,Hadley Plan,Frederick,MD,21701,734990,5,4,Frederick,2628,,,324,280,Active,39.419306,-77.389269
Single Family Residential,The Beckham Plan,Frederick,MD,21701,949900,6,5.5,Frederick,5247,,,441,181,Active,39.398823,-77.361625
Single Family Residential,The Hathaway Plan,Frederick,MD,21701,909900,4,5,Frederick,4762,,,441,191,Active,39.398823,-77.361625
Single Family Residential,The Emerson Plan,Frederick,MD,21701,819900,6,5.5,Frederick,4226,,,441,194,Active,39.398823,-77.361625
Single Family Residential,The Chapman Plan,Frederick,MD,21701,919900,6,5.5,Frederick,5863,,,441,157,Active,39.398823,-77.361625
Single Family Residential,Clarkson Plan,Frederick,MD,21702,749990,3,4,Frederick,3492,,,499,215,Active,39.476987,-77.414785
Single Family Residential,Davenport Plan,Frederick,MD,21702,779990,3,4,Frederick,3998,,,499,195,Active,39.476987,-77.414785
Single Family Residential,Bennington Plan,Frederick,MD,21702,709990,2,3,Frederick,3331,,,499,213,Active,39.476987,-77.414785
