SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,$/SQUARE FEET,LATITUDE,LONGITUDE
August-28-2024,Single Family Residential,113 Wheeler Ln,Frederick,MD,21702,630000,4,3.5,CLOVER RIDGE,2952,9734,2008,213,39.4633967,-77.4193492
August-29-2024,Single Family Residential,5303 Coronet Ct,Frederick,MD,21703,602000,4,2.5,KINGSBROOK,2225,8543,1995,271,39.3827861,-77.4262332
August-29-2024,Single Family Residential,536 Wilson Pl,Frederick,MD,21702,800000,5,3.5,Frederick,3499,22000,1937,229,39.4295249,-77.4265613
August-30-2024,Single Family Residential,2107 Rocky Gorge Ct,Frederick,MD,21702,625000,4,3.5,WALNUT RIDGE,3808,10018,2001,164,39.4416633,-77.4450452
August-30-2024,Single Family Residential,7913 Wit Mere Ct,Frederick,MD,21702,485000,3,2,SUNNY ACRES,1807,20038,1966,268,39.4510238,-77.4654691
August-6-2024,Single Family Residential,7804 Horseshoe Ct,Frederick,MD,21701,525000,3,2.5,HORSE SHOE FARM ESTATES,1732,51836,1984,303,39.4483723,-77.2863839
August-9-2024,Single Family Residential,8051 Old Receiver Rd,Frederick,MD,21702,588000,3,2.5,Frederick,2347,64033,2004,251,39.4521766,-77.4607048
August-9-2024,Single Family Residential,5116 Continental Dr,Frederick,MD,21703,753800,5,3.5,WESTVIEW SOUTH,3738,4410,2018,202,39.37249,-77.41918
August-9-2024,Single Family Residential,5600 Boone Ave,Frederick,MD,21704,680000,3,3,Frederick,2342,95832,1994,290,39.3853344,-77.3438353
December-10-2024,Single Family Residential,1271 Backbone Way,Frederick,MD,21702,666100,4,3.5,SYCAMORE RIDGE,2423,,2024,275,39.4407229,-77.4594605
December-12-2024,Single Family Residential,10099 Quail Knob Ln,Frederick,MD,21702,358700,4,2,CRESTVIEW ESTATES,1502,15246,1974,239,39.5091017,-77.4331324
December-16-2024,Single Family Residential,5435 Feagaville Ln,Frederick,MD,21703,451000,4,2,Frederick,1734,59242,1963,260,39.3828598,-77.4719043
December-2-2024,Single Family Residential,5320 Ivywood Dr N,Frederick,MD,21703,590000,4,2.5,BALLENGER CROSSING,2146,8346,1998,275,39.3844808,-77.4341188
December-30-2024,Single Family Residential,7916 River Run Ct,Frederick,MD,21701,587500,4,2.5,WATERSIDE,2724,11705,1985,216,39.4531027,-77.381616
December-30-2024,Single Family Residential,1803 Willow Creek Ct,Frederick,MD,21702,450000,4,2,AMBER MEADOWS,1933,7846,1980,233,39.4529389,-77.4061597
December-4-2024,Single Family Residential,5 E 15th St,Frederick,MD,21701,625000,3,3,Frederick,2303,8750,1930,271,39.432607,-77.4037918
December-5-2024,Single Family Residential,109 Wheeler Ln,Frederick,MD,21702,550000,6,3.5,CLOVER RIDGE,3871,8916,2006,142,39.4637282,-77.4195672
December-9-2024,Single Family Residential,6539 Ballenger Run Blvd,Frederick,MD,21703,615000,3,3.5,BALLENGER RUN,2782,4200,2018,221,39.378779,-77.44046
December-9-2024,Single Family Residential,3925 Addison Woods Rd,Frederick,MD,21704,850000,4,4.5,VILLAGES OF URBANA,3409,4920,2007,249,39.3367985,-77.3379693
February-13-2025,Single Family Residential,8701-A Yellow Springs Rd,Frederick,MD,21702,420000,4,2.5,Frederick,2220,31799,1915,189,39.4729449,-77.4528748
February-14-2025,Single Family Residential,1407 Pedigree St,Frederick,MD,21702,650000,3,3,KELLERTON,2380,9100,2018,273,39.462275,-77.442945
February-20-2025,Single Family Residential,312 N College Pkwy,Frederick,MD,21701,1300000,5,3.5,BAKER PARK,2699,7500,1930,482,39.4194008,-77.4189876
February-21-2025,Single Family Residential,162 Midsummer Dr,Frederick,MD,21702,658500,4,3.5,NORTH CROSSING,3236,10661,1998,203,39.4606149,-77.4111379
February-21-2025,Single Family Residential,583 Hillcrest Dr,Frederick,MD,21703,440000,4,3.5,HILLCREST ORCHARDS,2480,8271,1979,177,39.4124746,-77.4603703
February-26-2025,Single Family Residential,5080 Reigate Ct,Frederick,MD,21703,625000,3,2.5,WELLINGTON TRACE,2744,11130,2001,228,39.3710322,-77.4379681
February-26-2025,Single Family Residential,2772 Lynn St,Frederick,MD,21704,515000,3,2.5,SUGARLOAF ESTATES,1770,50530,1968,291,39.3058013,-77.3853223
February-26-2025,Single Family Residential,5700 Haycock Ct,Frederick,MD,21704,810000,5,3.5,WINDING RIDGE,4014,11881,2001,202,39.3908228,-77.3385225
February-27-2025,Single Family Residential,5811 Meadow Dr,Frederick,MD,21702,445000,4,2.5,Frederick,2360,21875,1968,189,39.4409647,-77.4640416
February-28-2025,Single Family Residential,10407 Pleasant Vista Dr,Frederick,MD,21701,660000,4,2.5,Frederick,2238,114998,1987,295,39.4535044,-77.3008721
February-28-2025,Single Family Residential,3339 Stone Barn Dr,Frederick,MD,21704,850000,4,3.5,VILLAGES OF URBANA,2584,4645,2021,329,39.328107,-77.3643961
February-28-2025,Single Family Residential,9724 Fleetwood Way,Frederick,MD,21701,582000,4,3.5,SPRING RIDGE,1796,5297,2001,324,39.4082625,-77.3332656
February-28-2025,Single Family Residential,308 Redwood Ave,Frederick,MD,21701,381000,2,1,CARROLLTON,1410,6450,1952,270,39.4069583,-77.4238493
February-28-2025,Single Family Residential,1322 Hillcrest Dr,Frederick,MD,21703,410000,3,2,HILLCREST ORCHARDS,1529,7500,1983,268,39.4130357,-77.4554376
January-10-2025,Single Family Residential,6637 Jefferson Blvd,Frederick,MD,21703,485000,4,2.5,BRADDOCK HEIGHTS,1564,13200,1930,310,39.4151789,-77.5061748
January-10-2025,Single Family Residential,208 Thames Dr,Frederick,MD,21702,415000,3,2,WILLOWCREST,1432,6180,1986,290,39.4270569,-77.4458039
January-15-2025,Single Family Residential,3487 Urbana Pike,Frederick,MD,21704,783000,3,3.5,VILLAGES OF URBANA,3360,7321,2015,233,39.3262477,-77.3511736
January-16-2025,Single Family Residential,1020 Storrington Dr,Frederick,MD,21702,579900,4,2.5,MILL CROSSING,2280,14765,2008,254,39.4261941,-77.4388216
January-17-2025,Single Family Residential,2124 Battery Ln,Frederick,MD,21702,625000,5,2.5,CANNON BLUFF,3540,8337,2013,177,39.467141,-77.4437842
January-17-2025,Single Family Residential,6212 Derby Dr,Frederick,MD,21703,467500,4,2.5,BALLENGER CREEK MEADOWS,2482,6300,1989,188,39.3893195,-77.4492152
January-17-2025,Single Family Residential,456 Carrollton Dr,Frederick,MD,21701,385000,3,2,CARROLLTON,1772,8400,1960,217,39.4072025,-77.4219835
January-22-2025,Single Family Residential,9305 Granite Cir,Frederick,MD,21702,373500,4,3,WHITE ROCK,1650,10080,1957,226,39.4889741,-77.4565001
January-24-2025,Single Family Residential,1010 Saxton Dr,Frederick,MD,21702,642000,4,2.5,TUSCARORA CREEK,3528,7200,2018,182,39.471035,-77.434434
January-27-2025,Single Family Residential,2426 Longfellow Ct,Frederick,MD,21702,710000,4,3.5,Frederick,3940,21723,2008,180,39.4601574,-77.4553103
January-28-2025,Single Family Residential,7810 Jackson Mountain Dr,Frederick,MD,21702,1117000,5,4.5,Frederick,3976,218236,2024,281,39.44637,-77.4863495
January-30-2025,Single Family Residential,1387 Fox Run Ct,Frederick,MD,21703,555000,4,2.5,HILCREST ORCHARDS,2840,7528,1978,195,39.411105,-77.4592841
January-31-2025,Single Family Residential,6868 Snowberry Ct,Frederick,MD,21703,445000,2,2,CRESTWOOD VILLAGE,1297,8176,1990,343,39.3858673,-77.4309212
January-31-2025,Single Family Residential,403 Delaware Rd,Frederick,MD,21701,430000,3,2,MONOCACY VILLAGE,2081,8307,1958,207,39.4283571,-77.4006572
January-31-2025,Single Family Residential,250 Wyngate Dr,Frederick,MD,21701,441600,4,2.5,Frederick,2366,15950,1967,187,39.4101803,-77.4311839
January-7-2025,Single Family Residential,6205 Manor Woods Rd,Frederick,MD,21703,330000,2,2,Frederick,858,86249,2002,385,39.3299743,-77.4524184
January-9-2025,Single Family Residential,6391 Devonshire Ln,Frederick,MD,21703,505000,4,2.5,BALLENGER CREEK,1761,5904,1988,287,39.3883902,-77.4454494
July-11-2024,Single Family Residential,2100 Walnut Ridge Ct,Frederick,MD,21702,607250,4,3.5,WALNUT RIDGE,3102,9965,2002,196,39.4442142,-77.4435261
July-1-2024,Single Family Residential,8007 Glendale Ct,Frederick,MD,21702,675000,4,2.5,CLOVER HILL,2800,24829,2001,241,39.4534714,-77.4279342
July-1-2024,Single Family Residential,1802 Black Walnut Ct,Frederick,MD,21701,725000,5,3.5,DEARBOUGHT,4520,19278,1999,160,39.44483,-77.3692813
July-12-2024,Single Family Residential,6411 Fulmer Rd,Frederick,MD,21703,450000,4,2,Frederick,1904,19600,1966,236,39.409354,-77.4980913
July-15-2024,Single Family Residential,5310 Ivywood Dr N,Frederick,MD,21703,589000,4,3,BALLENGER CROSSING,1996,9951,1997,295,39.3842736,-77.4324488
July-17-2024,Single Family Residential,6139 Fieldcrest Dr,Frederick,MD,21701,685000,4,3.5,SPRING RIDGE,3228,15600,1992,212,39.403959,-77.3563448
July-18-2024,Single Family Residential,5 Peters Ln,Frederick,MD,21701,525000,5,3,Frederick,2520,8700,1968,208,39.4304505,-77.4045726
July-19-2024,Single Family Residential,8003 Gambrill Park Rd,Frederick,MD,21702,300000,2,1,GAMBRILL PARK,1538,16422,1964,195,39.4536935,-77.4946368
July-19-2024,Single Family Residential,8029 Stone Ridge Dr,Frederick,MD,21702,722000,4,3.5,CLOVER HILL,3877,25711,1988,186,39.4538727,-77.4348499
July-2-2024,Single Family Residential,374 Crown Point Dr,Frederick,MD,21702,571120,3,2,Frederick,1559,8000,,366,39.478,-77.406996
July-2-2024,Single Family Residential,114 E 7th St,Frederick,MD,21701,450000,3,1.5,DOWNTOWN FREDERICK,1304,4830,1928,345,39.4224517,-77.4071219
July-2-2024,Single Family Residential,2210 Campbell Hill Way,Frederick,MD,21702,699990,4,3.5,SYCAMORE RIDGE,2423,,2024,289,39.4406584,-77.4593362
July-22-2024,Single Family Residential,7151 Linganore Rd,Frederick,MD,21701,830000,4,4,Frederick,4012,98445,2019,207,39.4304422,-77.3376556
July-22-2024,Single Family Residential,1727 Dogwood Dr,Frederick,MD,21701,365000,3,1,FREDERICKTOWNE VILLAGE,1008,5672,1983,362,39.4351917,-77.3972123
July-22-2024,Single Family Residential,205 Lake Coventry Dr,Frederick,MD,21702,470000,4,3,COVENTRY,1968,6000,1997,239,39.4263145,-77.4526264
July-22-2024,Single Family Residential,1207 N Market St,Frederick,MD,21701,879000,5,3.5,DOWNTOWN FREDERICK,3260,17273,1949,270,39.4299864,-77.4066514
July-22-2024,Single Family Residential,8089 Fingerboard Rd,Frederick,MD,21704,865000,3,4,Frederick,3664,140699,2007,236,39.3311522,-77.3872235
July-23-2024,Single Family Residential,1611 Trotter St,Frederick,MD,21702,625000,3,3.5,KELLERTON,3342,5060,2019,187,39.4617511,-77.4407043
July-23-2024,Single Family Residential,732 Bond St,Frederick,MD,21701,711145,5,5,RENN QUARTER,3213,4000,2024,221,39.4204062,-77.3898831
July-23-2024,Single Family Residential,902 Red Cedar Ct,Frederick,MD,21701,486000,3,3,FREDERICKTOWNE VILLAGE,1675,12287,1992,290,39.4336081,-77.3869032
July-25-2024,Single Family Residential,718 Bond St,Frederick,MD,21701,720346,5,5,RENN QUARTER,3213,4000,2024,224,39.4197012,-77.391487
July-26-2024,Single Family Residential,5727 Butterfly Ln,Frederick,MD,21703,450000,4,2,Frederick,2351,20000,1965,191,39.4124771,-77.4678444
July-26-2024,Single Family Residential,8412 Williams Dr,Frederick,MD,21704,525500,3,2,SUGARLOAF ESTATES,2016,27878,1968,261,39.311963,-77.3743052
July-28-2024,Single Family Residential,2208 Campbell Hill Way,Frederick,MD,21702,724990,4,3.5,SYCAMORE RIDGE,2718,,2024,267,39.440261,-77.4581369
July-29-2024,Single Family Residential,2213 Campbell Hill Way,Frederick,MD,21702,754990,5,4,SYCAMORE RIDGE,2718,,2024,278,39.440818,-77.458434
July-29-2024,Single Family Residential,377 Crown Point Dr,Frederick,MD,21702,659240,3,2,Frederick,1559,8000,,423,39.478558,-77.407308
July-29-2024,Single Family Residential,4962 Farringdon Ct,Frederick,MD,21703,565000,4,3.5,WELLINGTON TRACE,2410,12402,1999,234,39.3731364,-77.4413226
July-30-2024,Single Family Residential,2746 Scarecrow Ter,Frederick,MD,21702,1097100,5,4.5,KELLERTON,4565,19321,2024,240,39.4606,-77.456579
July-31-2024,Single Family Residential,1106 Furgeson Ln,Frederick,MD,21702,640000,4,3.5,GAMBRILL VIEW,3072,4950,2021,208,39.427764,-77.45541
July-31-2024,Single Family Residential,2509 Rocky Pointe Ct,Frederick,MD,21702,655000,5,3.5,ROCKY POINTE,4001,9165,2010,164,39.4488119,-77.4525294
July-3-2024,Single Family Residential,409 Braddock Ave,Frederick,MD,21701,372000,3,1,Frederick,850,11625,1955,438,39.409303,-77.4303075
July-3-2024,Single Family Residential,448 Carrollton Dr,Frederick,MD,21701,370000,3,1.5,Frederick,1073,6405,1959,345,39.4077768,-77.4214352
July-8-2024,Single Family Residential,9401 Penrose St,Frederick,MD,21704,875000,4,2.5,VILLAGES OF URBANA,3318,8751,2005,264,39.3396847,-77.3387912
June-10-2024,Single Family Residential,2202 Campbell Hill Way,Frederick,MD,21702,679990,4,3.5,SYCAMORE RIDGE,2423,,2024,281,39.4400014,-77.4575224
June-10-2024,Single Family Residential,381 Crown Point Dr,Frederick,MD,21702,617570,3,2,Frederick,1723,8000,,358,39.478398,-77.407656
June-11-2024,Single Family Residential,503 Magnolia Ave,Frederick,MD,21701,628000,3,1,HOOD COLLEGE,1515,6250,1940,415,39.4233233,-77.4220443
June-11-2024,Single Family Residential,5835 Shepherd Dr,Frederick,MD,21704,675000,4,2.5,HOLLY RIDGE,2934,7201,2018,230,39.395594,-77.3514485
June-12-2024,Single Family Residential,181 Greenway Dr,Frederick,MD,21702,370000,3,2.5,WILLOWCREST,1848,8327,1983,200,39.4250068,-77.4468236
June-12-2024,Single Family Residential,8623 Pinecliff Dr,Frederick,MD,21704,700000,3,2.5,Frederick,2246,21340,1965,312,39.3949806,-77.3657679
June-12-2024,Single Family Residential,5905 Char Leigh Cir,Frederick,MD,21703,707000,4,3.5,WEST FREDERICK HEIGHTS,2952,46609,1979,239,39.3547067,-77.4615858
June-13-2024,Single Family Residential,7813 Rocky Springs Rd,Frederick,MD,21702,475000,3,2,Frederick,1501,34267,1987,316,39.4498974,-77.453323
June-14-2024,Single Family Residential,7996 Pleasant Ct,Frederick,MD,21701,595900,3,3,VIEW MORE HEIGHTS,2480,40075,1983,240,39.4519846,-77.3079372
June-17-2024,Single Family Residential,1021 Cheryls Ct,Frederick,MD,21703,452000,4,3,WEST LINDEN HILLS,1940,7060,1992,233,39.4151577,-77.4413543
June-17-2024,Single Family Residential,356 Carroll Walk Ave,Frederick,MD,21701,800962,5,5,RENN QUARTER,3979,5922,2024,201,39.41475,-77.419763
June-20-2024,Single Family Residential,4903 Caverness Ct,Frederick,MD,21703,650000,5,2.5,WELLINGTON TRACE,3176,12798,1999,205,39.3711398,-77.4425718
June-20-2024,Single Family Residential,6813 Wittenburg Dr,Frederick,MD,21702,840000,6,2.5,WITTINBURG,3936,88427,1995,213,39.4739122,-77.4355061
June-21-2024,Single Family Residential,8226 Glendale Dr,Frederick,MD,21702,580000,3,3,CLOVER HILL,3071,21344,1973,189,39.4581326,-77.4252325
June-21-2024,Single Family Residential,5119 Maitland Ter,Frederick,MD,21703,711000,4,3.5,POPLAR RIDGE,3656,43996,2012,194,39.4111453,-77.4907431
June-21-2024,Single Family Residential,1745 Algonquin Rd,Frederick,MD,21701,667553,5,3.5,DEARBOUGHT,3413,7203,1997,196,39.4488637,-77.3709584
June-2-2024,Single Family Residential,734 Bond St,Frederick,MD,21701,699346,5,5,RENN QUARTER,3213,4000,2024,218,39.42042,-77.389696
June-24-2024,Single Family Residential,9210 Charterhouse Rd,Frederick,MD,21704,955000,5,3.5,VILLAGES OF URBANA,5274,8824,2004,181,39.3409125,-77.3418023
June-25-2024,Single Family Residential,104 Pennsylvania Ave,Frederick,MD,21701,350000,3,1,Frederick,1562,6000,1920,224,39.4107737,-77.3978303
June-26-2024,Single Family Residential,6004 Duvalls Frst,Frederick,MD,21701,1081465,5,4.5,Frederick,3826,6988,2024,283,39.398102,-77.359922
June-26-2024,Single Family Residential,244 Bishops Glen Dr,Frederick,MD,21702,515000,3,3,LAKE COVENTRY,1507,7365,2002,342,39.4279457,-77.4543987
June-28-2024,Single Family Residential,1320 Boundry Peak Ter,Frederick,MD,21702,730115,6,4,SYCAMORE RIDGE,3385,6969,2024,216,39.409442,-77.418993
June-28-2024,Single Family Residential,2776 Hillfield Dr,Frederick,MD,21702,1177837,5,5,KELLERTON,5082,14043,2024,232,39.4609949,-77.452619
June-28-2024,Single Family Residential,216 Lindbergh Ave,Frederick,MD,21701,1250000,3,2.5,BAKER PARK,2912,6300,1936,429,39.4196006,-77.423364
June-28-2024,Single Family Residential,1507 Trotter Pl,Frederick,MD,21702,720000,5,4,KELLERTON,3800,9295,2019,189,39.461896,-77.44268
June-28-2024,Single Family Residential,6009 Keyser Ln,Frederick,MD,21702,375000,3,1,Frederick,1901,27878,1962,197,39.4795781,-77.4581283
June-28-2024,Single Family Residential,514 Military Rd,Frederick,MD,21702,395000,3,1,Frederick,1221,9877,1953,324,39.4308288,-77.4288877
June-28-2024,Single Family Residential,5833 Woodwinds Cir,Frederick,MD,21703,660000,4,2.5,WEST FREDERICK HEIGHTS,2525,42819,1981,261,39.3555772,-77.4625974
June-3-2024,Single Family Residential,484 Carrollton Dr,Frederick,MD,21701,300000,3,1,Frederick,1369,5850,1963,219,39.3770971,-77.4394843
June-3-2024,Single Family Residential,1606 Norwich Dr,Frederick,MD,21701,485000,3,3.5,FREDERICKTOWNE VILLAGE,1668,8071,1987,291,39.4357738,-77.3936066
